t: 0, iter: 10
t: 2, iter: 10
t: 4, iter: 10
t: 6, iter: 10
t: 8, iter: 10
t: 10, iter: 10
t: 12, iter: 10
t: 14, iter: 10
t: 16, iter: 10
t: 18, iter: 10
t: 20, iter: 10
t: 22, iter: 10
t: 24, iter: 10
t: 26, iter: 10
t: 28, iter: 10
t: 30, iter: 10
t: 32, iter: 10
t: 34, iter: 10
t: 36, iter: 10
t: 38, iter: 10
t: 40, iter: 10
t: 42, iter: 10
t: 44, iter: 10
t: 46, iter: 10
t: 48, iter: 10
t: 50, iter: 10
t: 52, iter: 10
t: 54, iter: 10
t: 56, iter: 10
t: 58, iter: 10
t: 60, iter: 10
t: 62, iter: 10
t: 64, iter: 10
t: 66, iter: 10
t: 68, iter: 10
t: 70, iter: 10
t: 72, iter: 10
t: 74, iter: 10
t: 76, iter: 10
t: 78, iter: 10
t: 80, iter: 10
t: 82, iter: 10
t: 84, iter: 10
t: 86, iter: 10
t: 88, iter: 10
t: 90, iter: 10
t: 92, iter: 10
t: 94, iter: 10
t: 96, iter: 10
t: 98, iter: 10
t: 100, iter: 10
t: 102, iter: 10
t: 104, iter: 10
t: 106, iter: 10
t: 108, iter: 10
t: 110, iter: 10
t: 112, iter: 10
t: 114, iter: 10
t: 116, iter: 10
t: 118, iter: 10
t: 120, iter: 10
t: 122, iter: 10
t: 124, iter: 10
t: 126, iter: 10
t: 128, iter: 10
t: 130, iter: 10
t: 132, iter: 10
t: 134, iter: 10
t: 136, iter: 10
t: 138, iter: 10
t: 140, iter: 10
t: 142, iter: 10
t: 144, iter: 10
t: 146, iter: 10
t: 148, iter: 10
t: 150, iter: 10
t: 152, iter: 10
t: 154, iter: 10
t: 156, iter: 10
t: 158, iter: 10
t: 160, iter: 10
t: 162, iter: 10
t: 164, iter: 10
t: 166, iter: 10
t: 168, iter: 10
t: 170, iter: 10
t: 172, iter: 10
t: 174, iter: 10
t: 176, iter: 10
t: 178, iter: 10
t: 180, iter: 10
t: 182, iter: 10
t: 184, iter: 10
t: 186, iter: 10
t: 188, iter: 10
t: 190, iter: 10
t: 192, iter: 10
t: 194, iter: 10
t: 196, iter: 10
t: 198, iter: 10
t: 200, iter: 10
t: 202, iter: 10
t: 204, iter: 10
t: 206, iter: 10
t: 208, iter: 10
t: 210, iter: 10
t: 212, iter: 10
t: 214, iter: 10
t: 216, iter: 10
t: 218, iter: 10
t: 220, iter: 10
t: 222, iter: 10
t: 224, iter: 10
t: 226, iter: 10
t: 228, iter: 10
t: 230, iter: 10
t: 232, iter: 10
